LANGUAGE,MODEL,METRIC,VALUE
PYTHON,LINEAR REGRESSION (GRADIENT DESCENT),MSE,3.232086889454782e-06
PYTHON,LINEAR REGRESSION (NORMAL EQUATION),MSE,2.4351626302707585e-06
PYTHON,LOGISTIC REGRESSION,ACCURACY,0.9
PYTHON,K-NEAREST NEIGHBORS,ACCURACY,0.8666666666666667
PYTHON,GAUSSIAN NAIVE BAYES,ACCURACY,0.9
PYTHON,LINEAR REGRESSION (GRADIENT DESCENT),MSE,3.232086889454782e-06
PYTHON,LINEAR REGRESSION (NORMAL EQUATION),MSE,2.4351626302707585e-06
PYTHON,LOGISTIC REGRESSION,ACCURACY,0.9
PYTHON,K-NEAREST NEIGHBORS,ACCURACY,0.8666666666666667
PYTHON,GAUSSIAN NAIVE BAYES,ACCURACY,0.9
